pays,code_pays,annee,produit,code_produit,dispo_int,animal_food,semences,pertes,transfo,nourriture,other_uses
Armenie,1,2013,Viande de Bovins,2731,61000000.0,0.0,0.0,0.0,0.0,59000000.0,2000000.0
Armenie,1,2013,Viande d'Ovins/Caprins,2732,9000000.0,0.0,0.0,0.0,0.0,9000000.0,0.0
Armenie,1,2013,Viande de Suides,2733,31000000.0,0.0,0.0,0.0,0.0,29000000.0,2000000.0
Armenie,1,2013,Viande de Volailles,2734,40000000.0,0.0,0.0,0.0,0.0,40000000.0,0.0
Armenie,1,2013,"Viande, Autre",2735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Abats Comestible,2736,17000000.0,0.0,0.0,0.0,0.0,14000000.0,3000000.0
Armenie,1,2013,Graisses Animales Crue,2737,11000000.0,0.0,0.0,0.0,0.0,11000000.0,0.0
Armenie,1,2013,"Beurre, Ghee",2740,5000000.0,0.0,0.0,0.0,0.0,5000000.0,0.0
Armenie,1,2013,Creme,2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Oeufs,2744,35000000.0,0.0,0.0,0.0,0.0,35000000.0,0.0
Armenie,1,2013,Miel,2745,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Armenie,1,2013,Poissons Eau Douce,2761,10000000.0,0.0,0.0,0.0,0.0,10000000.0,0.0
Armenie,1,2013,Perciform,2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Poissons Pelagiques,2763,11000000.0,8000000.0,0.0,0.0,0.0,2000000.0,0.0
Armenie,1,2013,"Poissons Marins, Autres",2764,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,Crustaces,2765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
